Name,one,two,thr,for,fiv,six,sev,etg,nin,ten,ele,twe,thi,fro,fif,sit
L1_DoubleTau70er2p1,2.0,3.9,3.8,48.6%,-3.2%,-88.6%,4.6,3.8,-16.7%,2023,3939,3817,2000,4559,3797
L1_DoubleIsoTau32er2p1,10.2,17.6,17.1,42.3%,-2.9%,-68.3%,14.3,17.0,18.4%,10152,17580,17081,11716,14328,16969
L1_DoubleIsoTau34er2p1,8.5,14.6,14.5,41.4%,-0.5%,-70.0%,12.5,15.1,20.2%,8532,14569,14502,10083,12537,15070
L1_DoubleIsoTau36er2p1,7.5,12.4,12.2,39.2%,-1.6%,-61.7%,10.7,12.3,14.8%,7526,12371,12172,8899,10746,12341
L1_Mu18er2p1_Tau24er2p1,2.7,5.5,4.9,50.6%,-10.6%,-82.8%,2.0,5.2,167.2%,2704,5469,4945,3878,1954,5221
L1_Mu18er2p1_Tau26er2p1,1.4,2.4,1.9,42.5%,-24.1%,-40.2%,1.6,1.7,2.0%,1357,2360,1901,2123,1628,1661
L1_Mu22er2p1_IsoTau32er2p1,0.4,0.6,0.5,27.2%,-11.2%,-23.5%,0.3,0.4,9.3%,415,570,512,367,326,356
L1_Mu22er2p1_IsoTau34er2p1,0.4,0.5,0.5,31.5%,-12.1%,-30.2%,0.3,0.4,9.3%,368,537,479,367,326,356
L1_Mu22er2p1_IsoTau36er2p1,0.3,0.4,0.3,24.4%,-27.0%,-4.1%,0.3,0.1,-63.6%,332,440,346,327,326,119
L1_Mu22er2p1_IsoTau40er2p1,0.3,0.4,0.3,33.3%,-22.9%,-22.1%,0.3,0.1,-63.6%,282,423,345,286,326,119
L1_Mu22er2p1_Tau70er2p1,0.1,0.1,0.1,1.7%,-36.9%,25.7%,0.2,0.0,-100.0%,112,114,83,163,163,0
L1_IsoTau40er2p1_ETMHF90,2.4,4.2,3.8,42.6%,-11.3%,-56.6%,2.0,3.4,76.1%,2428,4232,3803,3388,1954,3441
L1_IsoTau40er2p1_ETMHF100,1.6,2.3,1.9,30.3%,-16.2%,-23.5%,1.3,1.8,36.6%,1577,2263,1947,2245,1303,1780
L1_IsoTau40er2p1_ETMHF110,1.1,1.3,1.2,11.8%,-9.1%,-3.9%,0.8,1.3,60.3%,1134,1286,1178,1592,814,1305
L1_SingleJet180,2.3,4.2,3.8,44.3%,-10.4%,-62.5%,5.7,3.8,-33.4%,2350,4216,3820,3429,5699,3797
L1_SingleJet200,1.6,2.8,2.8,41.8%,-2.8%,-67.3%,3.7,3.2,-14.4%,1647,2832,2755,2409,3745,3204
